IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio
2483190278; APARTMENT; UNIT; BR; São Paulo; SP; Rua Comendador Eduardo Saccab; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Campo Belo; Campo Belo; RESIDENTIAL; 118; 118; Comprar; 1180000; 2; 1; 3; 3; 1260
1411685474; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Agua Branca; Água Branca; RESIDENTIAL; 10000; 120; Comprar; 1369000; 2; 1; 3; 3; 785
2495669612; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Rio Branco; BR>Sao Paulo>NULL>Sao Paulo>Centro>Centro; Centro; RESIDENTIAL; 105; 105; Comprar; 525000; 0; 0; 2; 2; 660
2480675410; APARTMENT; UNIT; BR; São Paulo; SP; Rua Dona Martinha; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Santana; Santana; RESIDENTIAL; 1304; 55; Comprar; 395000; 0; 0; 2; 2; 0
2473938197; APARTMENT; CONDOMINIUM; BR; São Paulo; SP; Rua Doutor Renato Paes de Barros; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Itaim Bibi; Itaim Bibi; RESIDENTIAL; 330; 330; Comprar; 6400000; 5; 0; 5; 4; 0
2435142589; APARTMENT; CONDOMINIUM; BR; São Paulo; SP; Rua Doutor Miranda de Azevedo; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>POMPEIA; Pompeia; RESIDENTIAL; 0; 69; Comprar; 840000; 0; 1; 1; 2; 0
2260395545; APARTMENT; CONDOMINIUM; BR; São Paulo; SP; Rua Capote Valente; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Pinheiros; Pinheiros; RESIDENTIAL; 160; 160; Comprar; 0; 2; 2; 2; 3; 0
2470053986; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Pirituba; Pirituba; RESIDENTIAL; 360; 320; Comprar; 1354000; 4; 3; 3; 3; 0
2487835528; PENTHOUSE; UNIT; BR; São Paulo; SP; Avenida Sabiá; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Moema; Moema; RESIDENTIAL; 257; 257; Comprar; 2670000; 5; 3; 5; 4; 3200
2176555690; APARTMENT; UNIT; BR; São Paulo; SP; Rua Leopoldo Couto Magalhães Júnior; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Itaim Bibi; Itaim Bibi; RESIDENTIAL; 101; 101; Comprar/Alugar; 12000; 2; 2; 3; 2; 3631
2273345497; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Ramalho Ortigão; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Gumercindo; Vila Gumercindo; RESIDENTIAL; 66; 66; Comprar; 464000; 1; 1; 3; 2; 690
2430730077; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Lajeado; Lajeado; RESIDENTIAL; 52; 52; Comprar; 165000; 1; 0; 1; 2; 225
2468741425; APARTMENT; UNIT; BR; São Paulo; SP; Rua Paulo Orozimbo; BR>Sao Paulo>NULL>Sao Paulo>Centro>Aclimacao; Aclimação; RESIDENTIAL; 100; 80; Comprar; 775000; 2; 1; 2; 3; 678
2495656602; HOME; UNIT; BR; São Paulo; SP; Rua São Bráulio; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Guedala; Jardim Guedala; RESIDENTIAL; 540; 480; Comprar; 3725000; 4; 4; 8; 4; 0
2475394609; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Dória; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Mascote; Vila Mascote; RESIDENTIAL; 52; 52; Comprar; 436000; 1; 0; 1; 2; 664
2468729991; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Jardim D Abril; Jardim D Abril; RESIDENTIAL; 67; 67; Comprar; 305000; 1; 0; 1; 2; 340
2493397439; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Jardim Monte Kemel; Jardim Monte Kemel; RESIDENTIAL; 125; 146; Comprar; 620000; 3; 1; 3; 3; 0
2495676186; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Centro>Santa Cecilia; Santa Cecília; RESIDENTIAL; 170; 170; Alugar/Comprar; 4900; 1; 1; 3; 3; 1704
2251155655; APARTMENT; UNIT; BR; São Paulo; SP; Rua Bom Jesus; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Agua Rasa; Água Rasa; RESIDENTIAL; 56; 56; Comprar; 350000; 1; 0; 1; 2; 550
2455558933; FLAT; UNIT; BR; São Paulo; SP; Avenida Miruna; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Moema; Moema; RESIDENTIAL; 57; 57; Comprar; 625000; 2; 1; 1; 2; 0
2494681713; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Celso Garcia; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Tatuape; Tatuapé; RESIDENTIAL; 43; 43; Comprar; 395000; 1; 0; 1; 1; 400
2491868848; HOME; UNIT; BR; São Paulo; SP; Rua Doutor Barros Pimentel; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Tres Marias; Jardim Três Marias; RESIDENTIAL; 246; 246; Comprar; 635000; 3; 0; 2; 3; 0
2492194577; HOME; UNIT; BR; São Paulo; SP; Rua Doutor Elisio de Castro; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Dom Pedro I; Vila Dom Pedro I; RESIDENTIAL; 210; 210; Comprar; 1280000; 2; 1; 3; 3; 0
2489526469; HOME; UNIT; BR; São Paulo; SP; Avenida Caititu; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cidade A E Carvalho; Cidade A E Carvalho; RESIDENTIAL; 70; 70; Comprar; 299000; 1; 0; 1; 2; 0
2481905004; APARTMENT; UNIT; BR; São Paulo; SP; Rua Marco Aurélio; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Romana; Vila Romana; RESIDENTIAL; 293; 151; Comprar; 1900000; 3; 3; 5; 3; 1500
2477898421; APARTMENT; UNIT; BR; São Paulo; SP; Rua Belchior de Azevedo; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Leopoldina; Vila Leopoldina; RESIDENTIAL; 50; 50; Comprar; 448000; 1; 0; 1; 2; 400
2484814014; OFFICE; UNIT; BR; São Paulo; SP; Rua Purpurina; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Madalena; Vila Madalena; COMMERCIAL; 32; 32; Comprar; 360000; 1; 1; 2; 1; 515
2483948980; APARTMENT; UNIT; BR; São Paulo; SP; Rua Paula Ney; BR>Sao Paulo>NULL>Sao Paulo>Centro>Aclimacao; Aclimação; RESIDENTIAL; 125; 95; Comprar; 660000; 0; 1; 2; 3; 850
2495489493; APARTMENT; CONDOMINIUM; BR; São Paulo; SP; Rua Cotoxó; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Perdizes; Perdizes; RESIDENTIAL; 0; 180; Comprar; 0; 3; 4; 5; 4; 0
2475072722; APARTMENT; CONDOMINIUM; BR; São Paulo; SP; Avenida Pavão; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Moema; Moema; RESIDENTIAL; 175; 175; Comprar; 0; 2; 3; 4; 3; 0
2490011798; APARTMENT; CONDOMINIUM; BR; São Paulo; SP; Avenida Cotovia; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Indianopolis; Indianópolis; RESIDENTIAL; 0; 172; Comprar; 0; 3; 3; 4; 4; 0
2492028785; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Higienópolis; BR>Sao Paulo>NULL>Sao Paulo>Centro>Higienopolis; Higienópolis; RESIDENTIAL; 180; 142; Comprar; 1750000; 2; 1; 4; 3; 2150
2491251591; HOME; UNIT; BR; São Paulo; SP; Rua Aurélia; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Romana; Vila Romana; RESIDENTIAL; 320; 320; Comprar; 750000; 4; 1; 4; 2; 0
2489096292; APARTMENT; UNIT; BR; São Paulo; SP; Rua Torres da Barra; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Agua Branca; Água Branca; RESIDENTIAL; 31; 31; Comprar; 316000; 1; 0; 1; 1; 390
2493870648; FLAT; UNIT; BR; São Paulo; SP; Alameda Ministro Rocha Azevedo; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Jardins; Jardins; RESIDENTIAL; 41; 41; Comprar; 450000; 1; 0; 1; 1; 0
2185215593; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Belarmino Ferreira; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Arize; Jardim Arize; RESIDENTIAL; 56; 56; Comprar; 330000; 1; 0; 1; 2; 0
